Price,Close,High,Low,Open,Volume
Ticker,GS,GS,GS,GS,GS
Date,,,,,
2010-01-04,131.2891387939453,132.1766361961077,128.58112410636596,128.9907454147443,9135000
2010-01-05,133.61033630371094,133.70135815007055,130.90233220403752,131.22850153649094,11659400
2010-01-06,132.1842803955078,133.0338601628144,131.80500722736156,133.0338601628144,7381100
2010-01-07,134.77093505859375,135.59016654469883,131.94914157573155,132.22981160930877,8727400
2010-01-08,132.22219848632812,134.5888591451493,131.9491213661182,133.75446519275602,7268100
2010-01-11,130.13624572753906,132.79115868235434,129.3473623994605,132.79115868235434,7704900
2010-01-12,127.29928588867188,129.31701088829388,126.7000276403975,128.96049308856144,10360100
2010-01-13,128.24742126464844,128.70254207428454,126.00970054623927,127.44335250941306,11269500
2010-01-14,127.8378677368164,129.49908677482537,126.83659216394328,127.43583893281007,10521400
2010-01-15,125.31939697265625,127.28402844796383,124.84150926128638,127.1323215541224,10896300
2010-01-19,126.5710220336914,126.98063189745238,124.32572014210365,125.16770690463697,7705300
2010-01-20,127.27642059326172,127.57225305249165,124.64427678008362,125.76692155171351,8893900
2010-01-21,122.02728271484375,129.71135685705548,118.9172512787561,128.41423819570818,51738300
2010-01-22,116.90713500976562,121.17775376004613,115.48865733938669,120.373696651179,30175600
2010-01-25,117.55946350097656,120.07784194086649,117.19536463810489,118.43179840252627,17877000
2010-01-26,114.44947052001953,118.71249706211685,114.3129261660014,117.50641121169757,15985900
2010-01-27,114.91975402832031,116.00446958319213,112.46965294237104,114.35084435491278,19899000
2010-01-28,116.27757263183594,117.72639903457078,113.74403043222077,116.99060810017662,16160700
2010-01-29,112.81098175048828,117.48362870453109,112.1207019920397,117.1498665543144,18502800
2010-02-01,116.15619659423828,117.76431101831413,113.1826965391085,113.6454102370074,12980800
2010-02-02,119.04623413085938,119.47101812114859,116.5506108261667,116.5506108261667,17246600
2010-02-03,119.26626586914062,121.32193202716387,119.17524399075629,119.78966481885325,16785200
2010-02-04,114.29772186279297,118.37870362285518,114.12325949901748,117.77945729102021,18895000
2010-02-05,116.93748474121094,117.16505091566522,112.92476886933967,114.40394321604435,18759200
2010-02-08,114.61636352539062,117.27127587571867,114.40397146332432,117.02095417946211,10257300
2010-02-09,115.67072296142578,116.45960597636807,113.51644279372326,115.83001119376635,14017300
2010-02-10,116.53553009033203,117.84023130519921,115.11703992882302,115.88317948289844,10555300
2010-02-11,116.85408020019531,117.81743740998958,115.48869430727822,117.1195645067764,11163400
2010-02-12,116.76303100585938,117.19540796966204,114.64669183821567,115.579700583134,10293200
2010-02-16,119.3951644897461,119.65307898840034,117.27124443844899,117.80222445127328,11497100
2010-02-17,119.28894805908203,119.99440190670168,118.18905859776598,119.85027630479583,10070000
2010-02-18,118.12840270996094,118.78075293931664,117.48364535068309,118.03738086500339,10991100
2010-02-19,118.46979522705078,119.0918089569819,117.18786127359859,117.20302387103456,8693000
2010-02-22,118.87178039550781,119.82754444310704,118.3559629594647,119.24346062677039,7375500
2010-02-23,118.86418914794922,121.52669376069791,118.26494273303375,118.94762969427889,15696000
